2016-09-26 11:26:14,447 [Worker-18] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: Hibernate-Project:Hibernate-Project:0.0.1-SNAPSHOT @ E:\Coaching\Hibernate-Mindtree02\Hibernate-Project\pom.xml.
2016-09-26 11:26:17,746 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-09-26 11:26:17,763 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\Coaching\Hibernate-Mindtree02\Hibernate-Project\src\main\resources
2016-09-26 11:26:17,769 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-09-26 11:26:17,770 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\Coaching\Hibernate-Mindtree02\Hibernate-Project\src\test\resources
2016-09-26 11:26:17,802 [Worker-18] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /Hibernate-Project/src
2016-09-26 11:26:17,804 [Worker-18] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /Hibernate-Project/src/test/java because it overlaps with /Hibernate-Project/src
2016-09-26 11:26:18,078 [Worker-18] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2016-09-26 11:26:19,734 [Worker-18] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: Hibernate-Project:Hibernate-Project:0.0.1-SNAPSHOT @ E:\Coaching\Hibernate-Mindtree02\Hibernate-Project\pom.xml.
2016-09-26 11:26:20,610 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-09-26 11:26:20,614 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\Coaching\Hibernate-Mindtree02\Hibernate-Project\src\main\resources
2016-09-26 11:26:20,618 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
